"","Reef.index","Priority","New_CSIRO.region"
"715",715,"N","C"
"716",716,"N","N"
"717",717,"N","N"
"718",718,"N","N"
"719",719,"N","N"
"720",720,"N","N"
"721",721,"N","C"
"722",722,"N","C"
"723",723,"N","C"
"724",724,"N","C"
"725",725,"N","C"
"726",726,"Y","C"
"727",727,"N","C"
"728",728,"Y","C"
"729",729,"N","C"
"730",730,"Y","N"
"731",731,"Y","N"
"732",732,"N","N"
"733",733,"Y","N"
"734",734,"N","N"
"735",735,"N","N"
"736",736,"N","N"
"737",737,"N","N"
"738",738,"N","N"
"739",739,"N","N"
"740",740,"Y","C"
"741",741,"N","C"
"742",742,"N","C"
"743",743,"N","C"
"744",744,"N","C"
"745",745,"N","C"
"746",746,"N","C"
"747",747,"N","C"
"748",748,"Y","C"
"749",749,"N","C"
"750",750,"Y","C"
"751",751,"Y","C"
"752",752,"N","C"
"753",753,"N","N"
"754",754,"N","N"
"755",755,"N","N"
"756",756,"N","N"
"757",757,"N","N"
"758",758,"N","N"
"759",759,"N","N"
"760",760,"N","N"
"761",761,"N","N"
"762",762,"N","N"
"763",763,"N","N"
"764",764,"N","N"
"765",765,"N","N"
"766",766,"N","C"
"767",767,"N","C"
"768",768,"N","C"
"769",769,"Y","C"
"770",770,"N","C"
"771",771,"N","C"
"772",772,"Y","C"
"773",773,"N","N"
"774",774,"N","N"
"775",775,"N","N"
"776",776,"N","N"
"777",777,"N","N"
"778",778,"N","N"
"779",779,"N","N"
"780",780,"N","N"
"781",781,"N","N"
"782",782,"N","N"
"783",783,"N","N"
"784",784,"N","N"
"785",785,"N","C"
"786",786,"N","C"
"787",787,"N","C"
"788",788,"N","C"
"789",789,"Y","C"
"790",790,"N","C"
"791",791,"N","C"
"792",792,"N","C"
"793",793,"N","C"
"794",794,"N","N"
"795",795,"Y","N"
"796",796,"N","N"
"797",797,"N","N"
"798",798,"N","N"
"799",799,"N","N"
"800",800,"N","C"
"801",801,"N","C"
"802",802,"N","C"
"803",803,"N","C"
"804",804,"Y","C"
"805",805,"N","C"
"806",806,"N","C"
"807",807,"N","C"
"808",808,"N","C"
"809",809,"N","N"
"810",810,"N","N"
"811",811,"N","N"
"812",812,"N","N"
"813",813,"N","N"
"814",814,"N","N"
"815",815,"Y","N"
"816",816,"Y","N"
"817",817,"N","N"
"818",818,"N","N"
"819",819,"N","C"
"820",820,"N","C"
"821",821,"N","C"
"822",822,"N","C"
"823",823,"N","C"
"824",824,"N","C"
"825",825,"Y","C"
"826",826,"N","C"
"827",827,"N","C"
"828",828,"N","C"
"829",829,"Y","N"
"830",830,"Y","N"
"831",831,"Y","N"
"832",832,"N","N"
"833",833,"N","N"
"834",834,"N","N"
"835",835,"N","N"
"836",836,"Y","N"
"837",837,"N","C"
"838",838,"N","C"
"839",839,"N","C"
"840",840,"N","C"
"841",841,"N","C"
"842",842,"N","C"
"843",843,"Y","C"
"844",844,"N","C"
"845",845,"N","C"
"846",846,"N","C"
"847",847,"N","C"
"848",848,"Y","N"
"849",849,"N","N"
"850",850,"Y","N"
"851",851,"N","N"
"852",852,"N","N"
"853",853,"Y","N"
"854",854,"N","C"
"855",855,"N","C"
"856",856,"N","C"
"857",857,"Y","C"
"858",858,"N","N"
"859",859,"N","C"
"860",860,"Y","C"
"861",861,"N","C"
"862",862,"Y","C"
"863",863,"N","C"
"864",864,"N","C"
"865",865,"N","C"
"866",866,"N","C"
"867",867,"Y","N"
"868",868,"Y","N"
"869",869,"Y","N"
"870",870,"N","N"
"871",871,"Y","N"
"872",872,"N","N"
"873",873,"N","N"
"874",874,"N","N"
"875",875,"N","C"
"876",876,"N","C"
"877",877,"N","C"
"878",878,"N","C"
"879",879,"N","C"
"880",880,"N","C"
"881",881,"N","C"
"882",882,"N","C"
"883",883,"N","C"
"884",884,"N","C"
"885",885,"N","C"
"886",886,"N","C"
"887",887,"Y","C"
"888",888,"N","C"
"889",889,"N","C"
"890",890,"Y","C"
"891",891,"Y","C"
"892",892,"N","C"
"893",893,"N","N"
"894",894,"Y","N"
"895",895,"Y","N"
"896",896,"Y","N"
"897",897,"N","C"
"898",898,"Y","C"
"899",899,"N","C"
"900",900,"Y","C"
"901",901,"N","C"
"902",902,"N","C"
"903",903,"N","C"
"904",904,"N","C"
"905",905,"N","C"
"906",906,"N","C"
"907",907,"N","N"
"908",908,"Y","N"
"909",909,"Y","N"
"910",910,"Y","N"
"911",911,"Y","N"
"912",912,"Y","N"
"913",913,"N","N"
"914",914,"N","N"
"915",915,"N","N"
"916",916,"N","C"
"917",917,"Y","N"
"918",918,"N","C"
"919",919,"N","C"
"920",920,"N","C"
"921",921,"N","C"
"922",922,"N","C"
"923",923,"N","C"
"924",924,"N","C"
"925",925,"N","C"
"926",926,"N","C"
"927",927,"N","N"
"928",928,"N","N"
"929",929,"N","N"
"930",930,"N","N"
"931",931,"N","N"
"932",932,"N","N"
"933",933,"Y","N"
"934",934,"N","N"
"935",935,"N","N"
"936",936,"Y","C"
"937",937,"Y","C"
"938",938,"Y","C"
"939",939,"N","C"
"940",940,"N","C"
"941",941,"N","C"
"942",942,"N","C"
"943",943,"N","C"
"944",944,"N","N"
"945",945,"N","N"
"946",946,"N","N"
"947",947,"N","N"
"948",948,"N","N"
"949",949,"N","N"
"950",950,"Y","N"
"951",951,"Y","N"
"952",952,"N","C"
"953",953,"Y","C"
"954",954,"N","C"
"955",955,"N","C"
"956",956,"N","C"
"957",957,"N","C"
"958",958,"N","N"
"959",959,"N","N"
"960",960,"N","N"
"961",961,"N","N"
"962",962,"N","N"
"963",963,"N","N"
"964",964,"N","N"
"965",965,"N","N"
"966",966,"N","N"
"967",967,"N","N"
"968",968,"N","N"
"969",969,"Y","N"
"970",970,"Y","C"
"971",971,"N","C"
"972",972,"Y","C"
"973",973,"N","C"
"974",974,"N","C"
"975",975,"N","C"
"976",976,"N","C"
"977",977,"N","C"
"978",978,"N","N"
"979",979,"N","N"
"980",980,"N","N"
"981",981,"N","N"
"982",982,"N","N"
"983",983,"N","N"
"984",984,"N","N"
"985",985,"N","N"
"986",986,"Y","N"
"987",987,"Y","N"
"988",988,"N","N"
"989",989,"N","N"
"990",990,"N","N"
"991",991,"Y","N"
"992",992,"N","N"
"993",993,"N","N"
"994",994,"N","N"
"995",995,"Y","N"
"996",996,"Y","N"
"997",997,"N","FN"
"998",998,"Y","FN"
"999",999,"Y","FN"
"1000",1000,"N","FN"
"1001",1001,"Y","FN"
"1002",1002,"N","FN"
"1003",1003,"N","N"
"1004",1004,"N","N"
"1005",1005,"N","N"
"1006",1006,"N","N"
"1007",1007,"N","N"
"1008",1008,"N","N"
"1009",1009,"N","N"
"1010",1010,"Y","N"
"1011",1011,"Y","N"
"1012",1012,"N","N"
"1013",1013,"N","N"
"1014",1014,"N","N"
"1015",1015,"N","FN"
"1016",1016,"N","FN"
"1017",1017,"N","FN"
"1018",1018,"N","FN"
"1019",1019,"N","FN"
"1020",1020,"N","FN"
"1021",1021,"Y","FN"
"1022",1022,"Y","FN"
"1023",1023,"N","FN"
"1024",1024,"N","FN"
"1025",1025,"N","FN"
"1026",1026,"N","FN"
"1027",1027,"N","FN"
"1028",1028,"N","FN"
"1029",1029,"N","N"
"1030",1030,"N","N"
"1031",1031,"N","N"
"1032",1032,"N","N"
"1033",1033,"N","N"
"1034",1034,"N","N"
"1035",1035,"N","N"
"1036",1036,"Y","N"
"1037",1037,"N","N"
"1038",1038,"N","N"
"1039",1039,"N","N"
"1040",1040,"Y","N"
"1041",1041,"Y","FN"
"1042",1042,"Y","FN"
"1043",1043,"Y","FN"
"1044",1044,"N","FN"
"1045",1045,"Y","FN"
"1046",1046,"N","FN"
"1047",1047,"N","FN"
"1048",1048,"Y","FN"
"1049",1049,"N","N"
"1050",1050,"N","N"
"1051",1051,"N","N"
"1052",1052,"N","N"
"1053",1053,"N","N"
"1054",1054,"N","N"
"1055",1055,"N","N"
"1056",1056,"N","N"
"1057",1057,"N","N"
"1058",1058,"N","N"
"1059",1059,"N","N"
"1060",1060,"N","N"
"1061",1061,"N","N"
"1062",1062,"N","N"
"1063",1063,"N","N"
"1064",1064,"N","N"
"1065",1065,"N","N"
"1066",1066,"Y","FN"
"1067",1067,"Y","FN"
"1068",1068,"Y","FN"
"1069",1069,"N","FN"
"1070",1070,"N","FN"
"1071",1071,"N","N"
"1072",1072,"N","N"
"1073",1073,"N","N"
"1074",1074,"N","N"
"1075",1075,"N","N"
"1076",1076,"N","N"
"1077",1077,"N","FN"
"1078",1078,"N","FN"
"1079",1079,"N","FN"
"1080",1080,"N","FN"
"1081",1081,"N","FN"
"1082",1082,"Y","FN"
"1083",1083,"N","FN"
"1084",1084,"N","FN"
"1085",1085,"Y","FN"
"1086",1086,"N","FN"
"1087",1087,"N","FN"
"1088",1088,"N","FN"
"1089",1089,"N","FN"
"1090",1090,"N","FN"
"1091",1091,"N","N"
"1092",1092,"N","N"
"1093",1093,"N","N"
"1094",1094,"Y","N"
"1095",1095,"Y","N"
"1096",1096,"Y","N"
"1097",1097,"Y","N"
"1098",1098,"Y","FN"
"1099",1099,"Y","FN"
"1100",1100,"N","FN"
"1101",1101,"N","FN"
"1102",1102,"N","FN"
"1103",1103,"N","FN"
"1104",1104,"N","FN"
"1105",1105,"Y","FN"
"1106",1106,"Y","FN"
"1107",1107,"Y","FN"
"1108",1108,"N","FN"
"1109",1109,"Y","FN"
"1110",1110,"N","FN"
"1111",1111,"N","FN"
"1112",1112,"N","FN"
"1113",1113,"N","FN"
"1114",1114,"Y","FN"
"1115",1115,"Y","FN"
"1116",1116,"Y","FN"
"1117",1117,"N","FN"
"1118",1118,"Y","N"
"1119",1119,"Y","N"
"1120",1120,"N","N"
"1121",1121,"N","N"
"1122",1122,"Y","N"
"1123",1123,"Y","FN"
"1124",1124,"Y","FN"
"1125",1125,"N","FN"
"1126",1126,"N","FN"
"1127",1127,"N","FN"
"1128",1128,"N","FN"
"1129",1129,"Y","FN"
"1130",1130,"N","FN"
"1131",1131,"N","FN"
"1132",1132,"N","FN"
"1133",1133,"N","FN"
"1134",1134,"N","FN"
"1135",1135,"N","FN"
"1136",1136,"Y","FN"
"1137",1137,"N","FN"
"1138",1138,"Y","FN"
"1139",1139,"Y","FN"
"1140",1140,"N","FN"
"1141",1141,"N","FN"
"1142",1142,"Y","N"
"1143",1143,"N","N"
"1144",1144,"N","N"
"1145",1145,"N","FN"
"1146",1146,"Y","FN"
"1147",1147,"Y","FN"
"1148",1148,"N","FN"
"1149",1149,"N","FN"
"1150",1150,"N","FN"
"1151",1151,"N","FN"
